Number,Name,Type,Description,Price,Category
1,Idli / Vada Sambar - 2 Pieces,Vegan,Steamed rice and skinned black gram cakes / DOUGHNUTS immersed in SAMBAR topped with SPICY CHUTNEYS,£ 2.49p,Brunch
2,Plain Dosa ,Vegan,Rice and skinned black gram crepe served with SAMBAR (spicy yellow split peas soup) and SPICY CHUTNEYS,£ 2.49p,Brunch
3,Masala Dosa (or) Podi Dosa ,Vegan,Rice and skinned black gram crepe stuffed with SPICY POTATOES / Podi Dosa sprinkled with a mixture of ground spicy coarse powder served with SAMBAR and SPICY CHUTNEYS,£ 2.99p,Brunch
4,"Onion, Tomato & Chilli Uthappam ",Vegan,"Rice and skinned black gram pancake topped with onions, tomatoes and chillies sprinkled with a mixture of ground spicy coarse powder served with SAMBAR and SPICY CHUTNEYS",£ 3.49p,Brunch
5,Egg Dosa,Non-Veg,Rice and black gram crepe topped with EGGS served with SAMBAR (spicy yellow split peas soup) and SPICY CHUTNEYS,£ 3.49p,Brunch
6,Chilli Paneer Masala Dosa (or) Cheese Masala Dosa,Veg,Rice and skinned black gram crepe spread with CHUTNEY stuffed with POTATOES and COTTAGE (or) CHEDDAR CHEESE ,£ 4.99p,Brunch
7,Chilli Chicken Masala Dosa,Non-Veg,Rice and skinned black gram crepe spread with CHUTNEY stuffed with SPICY POTATOES and DRY SPICY CHICKEN ,£ 4.99p,Brunch
8,Puri - 4 Pieces with Aloo-ki-Sabzi (or) Chana Masala ,Vegan,"Stuffed fluffy fried BREAD served with SPICY POTATOES (or) white chickpeas CURRY, COCONUT CHUTNEY and PICKLE",£ 3.99p,Brunch
9,Chana Masala (or) Aloo-ki-Sabzi with 2 Tawa-wali-Paratha (or) 3 Roti ,Vegan,"TANGY CHICKPEAS CURRY / SPICY POTATOES with MULTI LAYERED BREADS (or) FLAT BREADS, COCONUT CHUTNEY and PICKLE ",£ 4.99p,Brunch
10,Paneer Mirch Masala with 2 Tawa-wali-Paratha (or) 3 Roti,Veg,"DRY SPICY COTTAGE CHEESE CAPSICUM MASALA with MULTI LAYERED BREADS (or) FLAT BREADS, COCONUT CHUTNEY & PICKLE ",£ 4.99p,Brunch
11,Chilli Chicken with 2 Tawa-wali-Paratha (or) 3 Roti,Non-Veg,"SPICY CHICKEN with MULTI LAYERED BREADS (or) FLAT BREADS, COCONUT CHUTNEY and PICKLE",£ 4.99p,Brunch
12,Veg. Kothu Parotta ,Vegan,"Chopped onion, tomato, leek, green chilli, mixture of SPICES with shredded layered BREADS and vegetable SALNA",£ 3.49p,Brunch
13,Egg Kothu Parotta ,Non-Veg,"Chopped onion, tomato, leek, chilli, mixture of SPICES and EGG combined with shredded layered BREADS and SALNA",£ 3.99p,Brunch
14,Chicken Kothu Parotta,Non-Veg,"Chopped onion, tomato, leek, chilli, mixture of SPICES and EGG combined with shredded BREADS and chicken SALNA ",£ 4.99p,Brunch
15,Veg. Curry with Rice ,Vegan,"Vegetable CURRY of the day served with extra fine basmati rice, garden fresh salad and PICKLE",£ 2.99p,Veg-Meal
16,Veg. Curry with 2 Tawa-wali-Paratha (or) 3 Roti ,Vegan,"Vegetable CURRY of the day served with a choice of MULTI LAYERED BREADS (or) FLAT BREADS, CHUTNEY and PICKLE",£ 3.49p,Veg-Meal
17,Veg. Biryani with Salad ,Vegan,Delicately flavoured combination of extra fine basmati rice and garden vegetables with aromatic herbs and SPICES ,£ 3.99p,Veg-Meal
18,Egg Biryani with Raita,Non-Veg,Delicately flavoured combination of extra fine basmati rice and  hard-boiled EGGS with aromatic herbs and SPICES served with RAITA (Churned YOGHURT blended with chopped onions). ,£ 3.99p,Egg-Meal
19,Egg Masala with 2 Tawa-wali-Paratha (or) 3 Roti ,Non-Veg,"SPICY EGG CURRY served with a choice of MULTI LAYERED BREADS (or) FLAT BREADS, COCONUT CHUTNEY and PICKLE",£ 3.99p,Egg-Meal
20,Chicken Curry with Rice,Non-Veg,"Chicken CURRY served with extra fine basmati rice, garden fresh salad ",£ 3.99p,Chicken-Meal
21,Chicken Curry with 2 Tawa-wali-Paratha (or) 3 Roti ,Non-Veg,Chicken CURRY served with a choice of MULTI LAYERED BREADS (or) FLAT BREADS COCONUT CHUTNEY and PICKLE,£ 4.49p,Chicken-Meal
22,Chicken Biryani with Raita,Non-Veg,"Delicately flavoured combination of extra fine basmati rice, marinated chicken with aromatic herbs and SPICES served with RAITA (Churned YOGHURT blended with chopped onions) ",£ 4.99p,Chicken-Meal
23,Lamb Curry with Rice ,Non-Veg,"Lamb CURRY served with extra fine basmati rice, garden fresh salad ",£ 5.99p,Lamb-Meal
